package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank,cascade_impact
supports-preserve-symlinks-flag,0.5740786448179692,1,0,0.0,0.0,1245746,274255022,1296,1.0,0.05,0.0,0.0,0.9015821824561999,0.7898487066199603,0.9996777795517656,1.0,dependency,175,0
inherits,0.5733332468673614,1,0,0.0,0.0,2323492,449338077,909,1.0,0.05,0.0,0.0,0.941623440844027,0.8411982878837175,0.9502553699729347,1.0,dependency,99,1
depd,0.5732610296737704,3,0,0.0,0.16666666666666666,2556983,326595428,1269,1.0,0.15,0.0,0.0,0.9477745698780402,0.8080147993113411,0.9967437971074945,0.8333333333333334,dependency,89,1
has-flag,0.5730425851036177,0,0,0.0,0.0,1287734,874161985,962,1.0,0.0,0.0,0.0,0.903711607821179,0.9104133028563762,0.9581504701793107,1.0,seed,169,0
require-from-string,0.5726236907364232,1,0,0.0,0.0,1639741,217933665,1258,1.0,0.05,0.0,0.0,0.9192347406770531,0.7659410718786707,0.9955305474042538,1.0,dependency,152,1
utils-merge,0.5719549647987651,0,0,0.0,0.0,4948638,167785069,1256,1.0,0.0,0.0,0.0,0.9901892471265898,0.7387427646154022,0.995308818122829,1.0,seed,15,0
proxy-from-env,0.5719293721068286,2,0,0.0,0.0,559702,244311243,1259,1.0,0.1,0.0,0.0,0.850187159318876,0.7778240017627093,0.9956412799933503,1.0,dependency,259,1
json-schema-traverse,0.5716789338552003,1,0,0.0,0.0,1067963,641885640,897,1.0,0.05,0.0,0.0,0.8916908835401895,0.8782904514368661,0.9484040017874735,1.0,seed,207,1
isarray,0.570427314949573,0,0,0.0,0.0,2097979,646283148,876,1.0,0.0,0.0,0.0,0.9350650557611498,0.879000559171795,0.9451037672813927,1.0,seed,115,0
get-caller-file,0.5700956267926888,1,0,0.0,0.0,4350442,297361612,817,1.0,0.05,0.0,0.0,0.981913278158718,0.7982618135380183,0.9353905881150758,1.0,seed,37,0
