package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
to-fast-properties,0.5662463351521673,0,0,0.0,0.0,4631839,100739468,1257,1.0,0.0,0.0,0.0,0.985939430075537,0.6856844677913481,0.9954197268273937,1.0,seed,23
balanced-match,0.563896474352847,1,0,0.0,0.0,1303263,377443120,790,1.0,0.05,0.0,0.0,0.9044816184759865,0.8230642387065371,0.9307094431729729,1.0,dependency,166
p-cancelable,0.5616195259310881,1,0,0.0,0.0,1122037,100477147,1235,1.0,0.05,0.0,0.0,0.8948637190379057,0.6854132874812519,0.9929591263958615,1.0,dependency,183
xtend,0.5604445018190358,1,0,0.0,0.0,1446059,191405982,878,1.0,0.05,0.0,0.0,0.911160386912308,0.7524417083373749,0.9454214614703376,1.0,dependency,159
event-target-shim,0.5602219579416292,1,0,0.0,0.0,637867,116505594,1266,1.0,0.05,0.0,0.0,0.8585845470982644,0.7008071200280515,0.996413956144988,1.0,dependency,252
regenerator-runtime,0.559409884811766,0,0,0.0,0.0,4404245,239655676,720,1.0,0.0,0.0,0.0,0.9827028406828431,0.7758229469279555,0.917786530253431,1.0,seed,34
yallist,0.5572684624307633,0,0,0.0,0.0,1187300,701615198,604,1.0,0.0,0.0,0.0,0.8984954217504728,0.8875443860471107,0.893322408255025,1.0,seed,181
lowercase-keys,0.5560252801884575,1,0,0.0,0.0,1311902,121107263,909,1.0,0.05,0.0,0.0,0.9049060238907779,0.7048360380479276,0.9502553699729347,1.0,dependency,165
har-validator,0.5534817747890152,1,0,0.0,0.0,684116,58484849,1265,1.0,0.05,0.0,0.0,0.8630809827566408,0.6291290939740302,0.9963038355797403,1.0,dependency,244
busboy,0.5530676787229616,1,0,0.0,0.0,428463,75035006,1265,1.0,0.05,0.0,0.0,0.8330230591031351,0.6550460569669998,0.9963038355797403,1.0,dependency,270
escalade,0.5517432101635585,1,0,0.0,0.0,2368706,341123642,462,1.0,0.05,0.0,0.0,0.942861453678173,0.8125414364797746,0.8560146057388189,1.0,dependency,95
abort-controller,0.5512794693453205,1,1,0.0,0.0,593406,123173568,876,1.0,0.05,0.012048192771084338,0.0,0.8539433680603297,0.7065955980590048,0.9451037672813927,1.0,dependency,257
jsesc,0.5506255934206592,1,0,0.0,0.0,4543338,402360179,359,1.0,0.05,0.0,0.0,0.9847001701914284,0.8297131152890349,0.8209213243630639,1.0,seed,26
picocolors,0.5496686109809394,1,0,0.0,0.0,2113229,402137996,414,1.0,0.05,0.0,0.0,0.9355302990670462,0.8296556673485252,0.8407500716969111,1.0,dependency,112
figures,0.5496277724232943,1,0,0.0,0.0,931471,207031001,640,1.0,0.05,0.0,0.0,0.882906910964491,0.7606032533258649,0.9013837799712934,1.0,dependency,224
import-local,0.5486809167786509,1,0,0.0,0.0,3448463,162218607,501,1.0,0.05,0.0,0.0,0.9669878890670698,0.7352337081752842,0.8672937852720776,1.0,dependency,66
js-tokens,0.546242760329582,1,0,0.0,0.0,1940799,391672243,377,1.0,0.05,0.0,0.0,0.9300626170064537,0.8269130347130492,0.8277259757881583,1.0,dependency,129
@colors/colors,0.5462222107602427,1,0,0.0,0.0,255801,141705353,879,1.0,0.05,0.0,0.0,0.7998894176241876,0.7211726147836346,0.9455800375973024,1.0,dependency,283
