package,risk_score,risk_score
es-abstract,0.6691415755027731,0.6691415755027731
tslib,0.3944682770943868,0.3944682770943868
get-intrinsic,0.3799008570455424,0.3799008570455424
@babel/core,0.3417456859902557,0.3417456859902557
side-channel,0.33389325308906825,0.33389325308906825
qs,0.3324934385791579,0.3324934385791579
jest-circus,0.3265224343851316,0.3265224343851316
jest-runner,0.3057591213803617,0.3057591213803617
babel-jest,0.30455381265162684,0.30455381265162684
@babel/helper-plugin-utils,0.3041101996418114,0.3041101996418114
browserslist,0.2827099678343783,0.2827099678343783
@smithy/types,0.25781931319563545,0.25781931319563545
@babel/traverse,0.2525286911437754,0.2525286911437754
@babel/helper-compilation-targets,0.23789953026199417,0.23789953026199417
jest-snapshot,0.22811425927649903,0.22811425927649903
debug,0.22552192140681626,0.22552192140681626
readable-stream,0.22326561061764477,0.22326561061764477
gaxios,0.20400772486049745,0.20400772486049745
@babel/helper-create-regexp-features-plugin,0.20315351233774642,0.20315351233774642
call-bind,0.20306769500793953,0.20306769500793953
