source,target
@babel/helper-module-transforms,@babel/helper-module-imports
@babel/helper-module-transforms,@babel/helper-validator-identifier
@babel/helper-module-imports,@babel/types
@babel/helper-module-imports,@babel/traverse
es-object-atoms,es-errors
@babel/helpers,@babel/types
@babel/helpers,@babel/template
eslint,ajv
eslint,chalk
eslint,debug
eslint,espree
eslint,ignore
eslint,esquery
eslint,esutils
eslint,find-up
eslint,is-glob
eslint,minimatch
eslint,@eslint/js
eslint,optionator
eslint,cross-spawn
eslint,glob-parent
eslint,imurmurhash
eslint,@eslint/core
eslint,eslint-scope
eslint,lodash.merge
eslint,@humanfs/node
eslint,@types/estree
eslint,fast-deep-equal
eslint,natural-compare
eslint,@eslint/eslintrc
eslint,file-entry-cache
eslint,@eslint/plugin-kit
eslint,eslint-visitor-keys
eslint,@eslint/config-array
eslint,@humanwhocodes/retry
eslint,escape-string-regexp
eslint,@eslint/config-helpers
eslint,@eslint-community/regexpp
eslint,@eslint-community/eslint-utils
eslint,@humanwhocodes/module-importer
eslint,json-stable-stringify-without-jsonify
jackspeak,@isaacs/cliui
path-scurry,lru-cache
path-scurry,minipass
update-browserslist-db,escalade
update-browserslist-db,picocolors
uri-js,punycode
call-bind-apply-helpers,es-errors
call-bind-apply-helpers,function-bind
magic-string,@jridgewell/sourcemap-codec
rxjs,tslib
flat-cache,flatted
flat-cache,hookified
flat-cache,cacheable
call-bind,call-bind-apply-helpers
call-bind,es-define-property
call-bind,get-intrinsic
call-bind,set-function-length
extend-shallow,assign-symbols
extend-shallow,is-extendable
@jest/schemas,@sinclair/typebox
@smithy/util-buffer-from,@smithy/is-array-buffer
@smithy/util-buffer-from,tslib
istanbul-lib-instrument,@babel/core
istanbul-lib-instrument,@babel/parser
istanbul-lib-instrument,@istanbuljs/schema
istanbul-lib-instrument,istanbul-lib-coverage
istanbul-lib-instrument,semver
file-entry-cache,flat-cache
fastq,reusify
@smithy/is-array-buffer,tslib
keyv,@keyv/serialize
on-finished,ee-first
define-property,is-descriptor
define-property,isobject
run-parallel,queue-microtask
es-set-tostringtag,es-errors
es-set-tostringtag,get-intrinsic
es-set-tostringtag,has-tostringtag
es-set-tostringtag,hasown
parse5,entities
@babel/helper-compilation-targets,semver
@babel/helper-compilation-targets,lru-cache
@babel/helper-compilation-targets,browserslist
@babel/helper-compilation-targets,@babel/compat-data
@babel/helper-compilation-targets,@babel/helper-validator-option
restore-cursor,onetime
restore-cursor,signal-exit
parent-module,callsites
is-wsl,is-inside-container
tough-cookie,tldts
cli-cursor,restore-cursor
ajv-keywords,fast-deep-equal
fast-levenshtein,fastest-levenshtein
open,default-browser
open,define-lazy-prop
open,is-in-ssh
open,is-inside-container
open,powershell-utils
open,wsl-utils
@eslint/eslintrc,ajv
@eslint/eslintrc,debug
@eslint/eslintrc,espree
@eslint/eslintrc,globals
@eslint/eslintrc,ignore
@eslint/eslintrc,import-fresh
@eslint/eslintrc,js-yaml
@eslint/eslintrc,minimatch
@eslint/eslintrc,strip-json-comments
finalhandler,debug
finalhandler,parseurl
finalhandler,statuses
finalhandler,encodeurl
finalhandler,escape-html
finalhandler,on-finished
send,debug
send,encodeurl
send,escape-html
send,etag
send,fresh
send,http-errors
send,mime-types
send,ms
send,on-finished
send,range-parser
send,statuses
@typescript-eslint/typescript-estree,debug
@typescript-eslint/typescript-estree,semver
@typescript-eslint/typescript-estree,is-glob
@typescript-eslint/typescript-estree,fast-glob
@typescript-eslint/typescript-estree,minimatch
@typescript-eslint/typescript-estree,ts-api-utils
@typescript-eslint/typescript-estree,@typescript-eslint/types
@typescript-eslint/typescript-estree,@typescript-eslint/visitor-keys
@typescript-eslint/typescript-estree,@typescript-eslint/tsconfig-utils
@typescript-eslint/typescript-estree,@typescript-eslint/project-service
foreground-child,cross-spawn
foreground-child,signal-exit
has-property-descriptors,es-define-property
@nodelib/fs.scandir,@nodelib/fs.stat
@nodelib/fs.scandir,run-parallel
esrecurse,estraverse
domutils,dom-serializer
domutils,domelementtype
domutils,domhandler
is-regex,call-bound
is-regex,gopd
is-regex,has-tostringtag
is-regex,hasown
@nodelib/fs.walk,@nodelib/fs.scandir
@nodelib/fs.walk,fastq
@typescript-eslint/visitor-keys,eslint-visitor-keys
@typescript-eslint/visitor-keys,@typescript-eslint/types
accepts,mime-types
accepts,negotiator
which-typed-array,available-typed-arrays
which-typed-array,call-bind
which-typed-array,call-bound
which-typed-array,for-each
which-typed-array,get-proto
which-typed-array,gopd
which-typed-array,has-tostringtag
define-properties,define-data-property
define-properties,has-property-descriptors
define-properties,object-keys
esquery,estraverse
acorn-walk,acorn
call-bound,call-bind-apply-helpers
call-bound,get-intrinsic
error-ex,is-arrayish
raw-body,bytes
raw-body,http-errors
raw-body,iconv-lite
raw-body,unpipe
log-symbols,yoctocolors
log-symbols,is-unicode-supported
es-abstract,array-buffer-byte-length
es-abstract,arraybuffer.prototype.slice
es-abstract,available-typed-arrays
es-abstract,call-bind
es-abstract,call-bound
es-abstract,data-view-buffer
es-abstract,data-view-byte-length
es-abstract,data-view-byte-offset
es-abstract,es-define-property
es-abstract,es-errors
es-abstract,es-object-atoms
es-abstract,es-set-tostringtag
es-abstract,es-to-primitive
es-abstract,function.prototype.name
es-abstract,get-intrinsic
es-abstract,get-proto
es-abstract,get-symbol-description
es-abstract,globalthis
es-abstract,gopd
es-abstract,has-property-descriptors
es-abstract,has-proto
es-abstract,has-symbols
es-abstract,hasown
es-abstract,internal-slot
es-abstract,is-array-buffer
es-abstract,is-callable
es-abstract,is-data-view
es-abstract,is-negative-zero
es-abstract,is-regex
es-abstract,is-set
es-abstract,is-shared-array-buffer
es-abstract,is-string
es-abstract,is-typed-array
es-abstract,is-weakref
es-abstract,math-intrinsics
es-abstract,object-inspect
es-abstract,object-keys
es-abstract,object.assign
es-abstract,own-keys
es-abstract,regexp.prototype.flags
es-abstract,safe-array-concat
es-abstract,safe-push-apply
es-abstract,safe-regex-test
es-abstract,set-proto
es-abstract,stop-iteration-iterator
es-abstract,string.prototype.trim
es-abstract,string.prototype.trimend
es-abstract,string.prototype.trimstart
es-abstract,typed-array-buffer
es-abstract,typed-array-byte-length
es-abstract,typed-array-byte-offset
es-abstract,typed-array-length
es-abstract,unbox-primitive
es-abstract,which-typed-array
is-binary-path,binary-extensions
jest-message-util,@babel/code-frame
jest-message-util,@jest/types
jest-message-util,@types/stack-utils
jest-message-util,chalk
jest-message-util,graceful-fs
jest-message-util,micromatch
jest-message-util,pretty-format
jest-message-util,slash
jest-message-util,stack-utils
domhandler,domelementtype
define-data-property,es-define-property
define-data-property,es-errors
define-data-property,gopd
body-parser,qs
body-parser,bytes
body-parser,debug
body-parser,type-is
body-parser,raw-body
