package,in_degree
tslib,138
@smithy/types,93
@babel/helper-plugin-utils,81
@aws-sdk/types,57
@smithy/protocol-http,45
debug,40
call-bound,39
@smithy/util-utf8,35
@smithy/node-config-provider,34
@aws-sdk/core,31
@types/node,31
es-errors,31
@smithy/util-middleware,29
@smithy/smithy-client,28
call-bind,27
@smithy/core,26
chalk,26
@smithy/util-base64,25
@jest/types,24
@smithy/url-parser,23
