Source,Target,Type
33,202,Directed
33,116,Directed
33,660,Directed
961,1065,Directed
961,10,Directed
961,373,Directed
961,489,Directed
660,510,Directed
281,270,Directed
413,560,Directed
413,464,Directed
413,137,Directed
413,278,Directed
413,550,Directed
413,152,Directed
455,843,Directed
455,20,Directed
455,71,Directed
455,1,Directed
455,1532,Directed
455,124,Directed
455,287,Directed
205,1772,Directed
205,254,Directed
1329,27,Directed
1382,262,Directed
419,1196,Directed
419,16,Directed
419,905,Directed
419,1522,Directed
419,509,Directed
419,77,Directed
826,128,Directed
125,1369,Directed
125,1205,Directed
125,431,Directed
125,379,Directed
125,1357,Directed
125,622,Directed
125,1370,Directed
125,1023,Directed
125,1347,Directed
125,1324,Directed
125,547,Directed
125,560,Directed
125,297,Directed
125,1014,Directed
125,100,Directed
125,92,Directed
125,419,Directed
125,466,Directed
125,1395,Directed
125,290,Directed
125,724,Directed
125,152,Directed
125,814,Directed
125,421,Directed
125,745,Directed
125,557,Directed
125,413,Directed
125,346,Directed
394,27,Directed
394,405,Directed
394,10,Directed
394,250,Directed
394,91,Directed
933,145,Directed
456,339,Directed
456,27,Directed
456,10,Directed
456,458,Directed
456,949,Directed
621,230,Directed
621,839,Directed
621,17,Directed
621,774,Directed
953,1531,Directed
944,10,Directed
944,527,Directed
745,511,Directed
745,188,Directed
745,496,Directed
661,953,Directed
661,1103,Directed
508,258,Directed
508,1522,Directed
508,1114,Directed
508,366,Directed
508,524,Directed
508,2178,Directed
508,135,Directed
309,573,Directed
512,129,Directed
557,16,Directed
557,1084,Directed
557,1089,Directed
557,1076,Directed
557,479,Directed
479,16,Directed
479,976,Directed
479,621,Directed
479,839,Directed
479,17,Directed
479,774,Directed
774,1115,Directed
814,1998,Directed
814,2020,Directed
927,363,Directed
927,152,Directed
515,447,Directed
515,307,Directed
515,894,Directed
515,428,Directed
329,615,Directed
329,169,Directed
329,956,Directed
329,633,Directed
329,858,Directed
329,847,Directed
329,39,Directed
329,63,Directed
694,23,Directed
694,1135,Directed
694,63,Directed
567,344,Directed
567,732,Directed
567,942,Directed
567,865,Directed
344,856,Directed
344,75,Directed
344,933,Directed
344,1048,Directed
344,254,Directed
344,145,Directed
344,1484,Directed
344,865,Directed
202,311,Directed
887,197,Directed
177,670,Directed
177,20,Directed
177,677,Directed
177,3,Directed
177,449,Directed
177,438,Directed
177,1747,Directed
177,1445,Directed
177,758,Directed
177,246,Directed
177,828,Directed
177,1690,Directed
177,262,Directed
177,194,Directed
177,5,Directed
177,144,Directed
177,183,Directed
177,41,Directed
318,20,Directed
318,35,Directed
318,338,Directed
318,71,Directed
318,211,Directed
318,1532,Directed
318,264,Directed
318,3,Directed
318,351,Directed
318,163,Directed
318,455,Directed
318,287,Directed
633,615,Directed
633,40,Directed
633,39,Directed
858,40,Directed
847,615,Directed
957,854,Directed
532,10,Directed
26,2064,Directed
26,391,Directed
26,451,Directed
26,381,Directed
26,32,Directed
26,315,Directed
26,54,Directed
699,10,Directed
943,72,Directed
1060,463,Directed
876,172,Directed
1087,196,Directed
1295,10,Directed
1295,809,Directed
827,151,Directed
827,10,Directed
136,311,Directed
136,202,Directed
136,116,Directed
136,270,Directed
22,291,Directed
22,33,Directed
22,172,Directed
