package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@babel/plugin-syntax-top-level-await,1,1,0.000000,True,3633475,144285204,337
@babel/plugin-syntax-typescript,2,1,0.000000,True,2805566,162115375,582
@babel/plugin-syntax-unicode-sets-regex,1,2,0.000000,False,310099,85995499,0
@babel/plugin-transform-arrow-functions,1,1,0.000000,True,4264832,126068544,144
@babel/plugin-transform-async-generator-functions,1,3,0.000000,False,310085,100961609,0
@babel/plugin-transform-async-to-generator,1,3,0.000000,True,4233044,127223018,162
@babel/plugin-transform-block-scoped-functions,1,1,0.000000,True,4247496,118501303,156
@babel/plugin-transform-block-scoping,1,1,0.000000,True,4264524,136795446,145
@babel/plugin-transform-class-properties,1,2,0.000000,False,310155,102743694,0
@babel/plugin-transform-class-static-block,1,2,0.000000,False,310076,90614418,0
@babel/plugin-transform-classes,1,6,0.000000,True,4263709,136389029,146
@babel/plugin-transform-computed-properties,1,2,0.000000,True,4263199,129971822,149
@babel/plugin-transform-destructuring,3,2,0.000000,True,4270320,136104064,142
@babel/plugin-transform-dotall-regex,2,2,0.000000,True,4125149,118455896,168
@babel/plugin-transform-duplicate-keys,1,1,0.000000,True,4123341,113219976,171
@babel/plugin-transform-duplicate-named-capturing-groups-regex,1,2,0.000000,False,0,69581612,0
@babel/plugin-transform-dynamic-import,1,1,0.000000,False,465856,87104873,0
@babel/plugin-transform-explicit-resource-management,1,2,0.000000,False,0,39416341,0
@babel/plugin-transform-exponentiation-operator,1,1,0.000000,True,4251967,121962508,154
@babel/plugin-transform-export-namespace-from,1,1,0.000000,False,310172,91612970,0
@babel/plugin-transform-flow-strip-types,1,2,0.000000,True,2421945,59683096,793
@babel/plugin-transform-for-of,1,2,0.000000,True,4267128,126288719,143
@babel/plugin-transform-function-name,1,3,0.000000,True,4262656,130468804,152
@babel/plugin-transform-json-strings,1,1,0.000000,False,465846,93150328,0
@babel/plugin-transform-literals,1,1,0.000000,True,4262997,128843895,151
@babel/plugin-transform-logical-assignment-operators,1,1,0.000000,False,497398,101997835,0
@babel/plugin-transform-member-expression-literals,1,1,0.000000,True,4006226,114903003,192
@babel/plugin-transform-modules-amd,1,2,0.000000,True,4124003,115011042,169
@babel/plugin-transform-modules-commonjs,2,2,0.000000,True,4291106,147520343,140
@babel/plugin-transform-modules-systemjs,1,4,0.000000,True,4122363,122010755,173
@babel/plugin-transform-modules-umd,1,2,0.000000,True,4122709,134085644,172
@babel/plugin-transform-named-capturing-groups-regex,1,2,0.000000,True,4023362,122243550,187
@babel/plugin-transform-new-target,1,1,0.000000,True,4121285,119795588,174
@babel/plugin-transform-nullish-coalescing-operator,1,1,0.000000,False,497738,95999807,0
@babel/plugin-transform-numeric-separator,1,1,0.000000,False,497399,98154213,0
@babel/plugin-transform-object-rest-spread,1,5,0.000000,False,497406,99723824,0
@babel/plugin-transform-object-super,1,2,0.000000,True,4246877,121577803,157
@babel/plugin-transform-optional-catch-binding,1,1,0.000000,False,310087,95701352,0
@babel/plugin-transform-optional-chaining,2,2,0.000000,False,512858,109213542,0
@babel/plugin-transform-parameters,3,1,0.000000,True,4270525,129323445,141
@babel/plugin-transform-private-methods,1,2,0.000000,False,310164,103222240,0
@babel/plugin-transform-private-property-in-object,1,3,0.000000,False,465961,99340062,0
@babel/plugin-transform-property-literals,1,1,0.000000,True,4006289,120448544,191
@babel/plugin-transform-react-constant-elements,1,1,0.000000,True,2115983,30846984,1119
@babel/plugin-transform-react-display-name,2,1,0.000000,True,2800967,78532525,584
@babel/plugin-transform-react-jsx,2,5,0.000000,True,2936585,89272708,533
@babel/plugin-transform-react-jsx-development,1,1,0.000000,True,1914434,64487739,1322
@babel/plugin-transform-react-jsx-self,0,1,0.000000,True,1771963,64342289,1517
@babel/plugin-transform-react-jsx-source,0,1,0.000000,True,1908328,69490978,1329
@babel/plugin-transform-react-pure-annotations,1,2,0.000000,True,1618712,69979188,1728
@babel/plugin-transform-regenerator,1,1,0.000000,True,4248651,120276775,155
@babel/plugin-transform-regexp-modifiers,1,2,0.000000,False,0,62871985,0
@babel/plugin-transform-reserved-words,1,1,0.000000,True,3878658,118501026,302
@babel/plugin-transform-runtime,1,6,0.000000,True,3592482,84314516,343
@babel/plugin-transform-shorthand-properties,1,1,0.000000,True,4263112,124350193,150
@babel/plugin-transform-spread,1,2,0.000000,True,4263601,114970604,148
@babel/plugin-transform-sticky-regex,1,1,0.000000,True,4242424,120283813,159
@babel/plugin-transform-template-literals,1,1,0.000000,True,4263671,129490321,147
@babel/plugin-transform-typeof-symbol,1,1,0.000000,True,4123498,115455601,170
@babel/plugin-transform-typescript,1,5,0.000000,True,2593215,101414046,750
@babel/plugin-transform-unicode-escapes,1,1,0.000000,True,2483613,115139963,774
@babel/plugin-transform-unicode-property-regex,1,2,0.000000,False,497379,93265376,0
@babel/plugin-transform-unicode-regex,1,2,0.000000,True,4242441,120622515,158
@babel/plugin-transform-unicode-sets-regex,1,2,0.000000,False,310083,95096109,0
@babel/preset-env,3,70,0.000000,True,3369235,119911106,371
@babel/preset-modules,1,5,0.000000,True,2918999,100802393,535
@babel/preset-react,2,6,0.000000,True,2435145,75908288,785
@babel/preset-typescript,2,5,0.000000,True,2329475,90065240,932
@babel/runtime,5,0,0.000000,True,4021755,307021123,188
@babel/runtime-corejs3,0,1,0.000000,True,1940578,36096048,1314
@babel/template,6,3,0.000000,True,4582774,301776678,124
@babel/traverse,20,7,0.000033,True,4583249,330432404,123
@babel/types,32,2,0.000175,True,4673471,447665707,120
@bcoe/v8-coverage,1,0,0.000000,True,1666305,142620957,1564
@cacheable/memory,1,4,0.000000,False,0,4899784,0
@cacheable/utils,2,2,0.000000,False,0,6632237,0
@cnakazawa/watch,0,2,0.000000,True,1803043,18296748,1382
@csstools/cascade-layer-name-parser,3,0,0.000000,False,5917,9039757,0
@csstools/color-helpers,2,0,0.000000,False,2900,57482722,0
@csstools/convert-colors,0,0,0.000000,True,1555892,5078770,1765
@csstools/css-calc,8,0,0.000000,False,2773,56011931,0
@csstools/css-color-parser,14,2,0.000000,False,2451,56234544,0
@csstools/css-parser-algorithms,26,0,0.000000,False,10014,66596508,0
@csstools/css-syntax-patches-for-csstree,1,0,0.000000,False,0,11050473,0
@csstools/css-tokenizer,27,0,0.000000,False,10014,71787227,0
@csstools/media-query-list-parser,3,0,0.000000,False,8028,24321415,0
@csstools/normalize.css,1,0,0.000000,True,1850962,13244659,1360
@csstools/postcss-alpha-function,1,5,0.000000,False,0,2212280,0
@csstools/postcss-cascade-layers,1,2,0.000000,False,544751,20475898,0
@csstools/postcss-color-function,1,5,0.000000,False,699838,20983412,0
@csstools/postcss-color-function-display-p3-linear,1,5,0.000000,False,0,1847517,0
@csstools/postcss-color-mix-function,1,5,0.000000,False,2434,8206320,0
@csstools/postcss-color-mix-variadic-function-arguments,1,5,0.000000,False,0,3095781,0
@csstools/postcss-content-alt-text,1,4,0.000000,False,0,5753521,0
@csstools/postcss-contrast-color-function,1,5,0.000000,False,0,1412101,0
@csstools/postcss-exponential-functions,1,3,0.000000,False,25,7108340,0
@csstools/postcss-font-format-keywords,1,2,0.000000,False,721136,19315412,0
@csstools/postcss-gamut-mapping,1,3,0.000000,False,675,6916220,0
@csstools/postcss-gradients-interpolation-method,1,5,0.000000,False,2394,7865473,0
@csstools/postcss-hwb-function,1,5,0.000000,False,721143,20916604,0
