Id,Label,package,in_degree,out_degree,betweenness,risk_score,is_topN,dependents_count,downloads,rank,is_seed
40,@aws-sdk/credential-provider-web-identity,@aws-sdk/credential-provider-web-identity,2,7,0.000000,0.024114,True,61557,158603908,1167,True
41,@aws-sdk/endpoint-cache,@aws-sdk/endpoint-cache,1,2,0.000000,0.008442,False,0,0,0,False
42,@aws-sdk/middleware-bucket-endpoint,@aws-sdk/middleware-bucket-endpoint,3,7,0.000000,0.027737,False,0,0,0,False
43,@aws-sdk/middleware-endpoint-discovery,@aws-sdk/middleware-endpoint-discovery,1,6,0.000000,0.018081,False,0,0,0,False
44,@aws-sdk/middleware-expect-continue,@aws-sdk/middleware-expect-continue,1,4,0.000000,0.013262,False,0,0,0,False
45,@aws-sdk/middleware-flexible-checksums,@aws-sdk/middleware-flexible-checksums,1,13,0.000000,0.034948,False,0,0,0,False
46,@aws-sdk/middleware-host-header,@aws-sdk/middleware-host-header,20,4,0.000000,0.082102,True,71278,167807297,1116,True
47,@aws-sdk/middleware-location-constraint,@aws-sdk/middleware-location-constraint,1,3,0.000000,0.010852,False,0,0,0,False
48,@aws-sdk/middleware-logger,@aws-sdk/middleware-logger,20,3,0.000000,0.079693,True,69575,158658675,1166,True
49,@aws-sdk/middleware-recursion-detection,@aws-sdk/middleware-recursion-detection,20,5,0.000000,0.084512,True,53899,159159228,1161,True
50,@aws-sdk/middleware-sdk-ec2,@aws-sdk/middleware-sdk-ec2,1,8,0.000000,0.022900,False,0,0,0,False
51,@aws-sdk/middleware-sdk-rds,@aws-sdk/middleware-sdk-rds,1,7,0.000000,0.020491,False,0,0,0,False
52,@aws-sdk/middleware-sdk-s3,@aws-sdk/middleware-sdk-s3,2,14,0.000000,0.040981,False,0,0,0,False
53,@aws-sdk/middleware-sdk-s3-control,@aws-sdk/middleware-sdk-s3-control,1,8,0.000000,0.022900,False,0,0,0,False
54,@aws-sdk/middleware-sdk-sqs,@aws-sdk/middleware-sdk-sqs,1,6,0.000000,0.018081,False,0,0,0,False
55,@aws-sdk/middleware-ssec,@aws-sdk/middleware-ssec,1,3,0.000000,0.010852,False,0,0,0,False
56,@aws-sdk/middleware-user-agent,@aws-sdk/middleware-user-agent,21,7,0.000000,0.092954,True,71275,172035369,994,True
57,@aws-sdk/nested-clients,@aws-sdk/nested-clients,4,38,0.000000,0.106059,False,0,0,0,False
58,@aws-sdk/region-config-resolver,@aws-sdk/region-config-resolver,20,5,0.000000,0.084512,True,0,133732309,1540,True
59,@aws-sdk/signature-v4-multi-region,@aws-sdk/signature-v4-multi-region,1,6,0.000000,0.018081,False,0,0,0,False
60,@aws-sdk/token-providers,@aws-sdk/token-providers,1,7,0.000000,0.020491,True,35120,160530659,1152,True
61,@aws-sdk/types,@aws-sdk/types,57,2,0.000000,0.211341,True,75143,301876999,386,True
62,@aws-sdk/util-arn-parser,@aws-sdk/util-arn-parser,3,1,0.000000,0.013279,False,0,0,0,False
