step,targeted_lcc,random_lcc
326,602,1535.4
327,584,1534.4
328,584,1533.0
329,584,1532.0
330,584,1531.0
331,584,1529.8
332,584,1529.0
333,583,1528.0
334,581,1527.2
335,581,1526.4
336,581,1525.4
337,581,1524.2
338,580,1523.0
339,579,1520.0
340,577,1519.2
341,577,1518.0
342,575,1516.2
343,575,1515.0
344,575,1514.0
345,575,1513.2
346,575,1512.0
347,575,1511.6
348,573,1510.2
349,573,1508.6
350,573,1507.0
351,572,1506.4
352,572,1505.2
353,572,1503.6
354,570,1499.0
355,570,1498.4
356,569,1497.6
357,569,1496.8
358,569,1495.2
359,569,1492.2
360,569,1490.4
361,569,1489.8
362,568,1489.0
363,568,1487.4
364,568,1486.6
365,568,1485.2
366,568,1484.0
367,568,1482.6
368,567,1481.4
369,567,1480.4
370,567,1479.6
371,567,1479.0
372,525,1478.2
373,525,1477.2
374,525,1476.6
375,525,1475.4
376,525,1474.6
377,525,1474.0
378,525,1473.0
379,523,1472.0
380,521,1470.6
381,521,1470.0
382,511,1469.2
383,511,1468.6
384,511,1467.4
385,511,1466.2
386,511,1465.4
387,511,1464.6
388,511,1462.8
389,511,1459.8
390,510,1458.8
391,510,1457.6
392,497,1456.6
393,497,1455.8
394,487,1454.4
395,487,1453.6
396,486,1452.8
397,486,1450.0
398,468,1449.2
399,468,1448.2
400,468,1447.4
401,453,1446.6
402,453,1445.4
403,453,1444.8
404,453,1443.4
405,453,1442.4
406,453,1441.0
407,453,1439.6
408,451,1437.6
409,451,1436.8
410,451,1435.6
411,451,1434.4
412,451,1432.4
413,448,1431.2
414,448,1430.6
415,423,1429.6
416,423,1428.8
417,423,1428.4
418,421,1427.6
419,421,1427.0
420,421,1426.2
421,421,1423.0
422,421,1419.2
423,421,1418.6
424,421,1417.6
425,421,1416.2
426,421,1415.6
427,421,1414.6
428,416,1414.0
429,416,1412.0
430,416,1411.4
431,416,1410.6
432,414,1409.6
433,414,1408.8
434,414,1407.4
435,414,1406.4
436,414,1404.4
437,414,1403.6
438,414,1402.8
439,414,1401.6
440,414,1400.4
441,413,1399.6
442,413,1398.8
443,413,1397.6
444,413,1396.8
445,413,1396.2
446,413,1395.4
447,413,1394.2
448,413,1392.8
449,413,1391.8
450,413,1391.2
451,413,1390.0
452,413,1389.2
453,413,1388.8
454,396,1386.8
455,396,1386.0
456,396,1384.0
457,396,1382.4
458,389,1381.2
459,387,1380.4
460,387,1379.4
461,387,1378.6
462,387,1378.0
463,386,1377.2
464,386,1376.6
465,386,1375.4
466,386,1374.4
467,386,1368.4
468,386,1367.6
469,386,1366.6
470,386,1365.2
471,384,1363.4
472,384,1361.8
473,383,1360.8
474,383,1359.0
475,383,1358.0
476,383,1357.2
477,383,1356.4
478,383,1355.6
479,383,1354.6
480,383,1353.8
481,383,1352.8
482,383,1351.8
483,383,1350.4
484,382,1349.0
485,382,1346.6
486,382,1346.0
487,382,1344.8
488,382,1343.8
489,382,1342.8
490,382,1342.0
491,382,1341.2
492,382,1340.2
493,382,1338.0
494,382,1337.4
495,382,1336.6
496,362,1335.0
497,362,1333.8
498,362,1333.0
499,362,1332.0
500,362,1329.2
