package,risk_score
es-abstract,0.6637046040972152
tslib,0.5368113016637722
jest-snapshot,0.4628901672326644
@babel/helper-plugin-utils,0.4529842613599099
@babel/traverse,0.4480990121562089
@babel/core,0.4428093241483412
workbox-build,0.4319517035804229
@babel/preset-env,0.4198447543302926
get-intrinsic,0.4046451644791294
@smithy/types,0.3923318412822636
debug,0.380693499138391
@jest/transform,0.3775781724528194
call-bind,0.3666296392622583
browserslist,0.3664790668719797
@jest/types,0.3622851882598877
@babel/types,0.3487366948490162
@types/node,0.3326696275530222
@babel/helper-compilation-targets,0.3311826069491292
@jest/core,0.3308048247799839
@aws-sdk/credential-provider-node,0.3270927207082367
@aws-sdk/types,0.3254514824558847
@babel/helper-create-class-features-plugin,0.3217237245717147
jest,0.3217164339625304
cypress,0.3173246532696185
@babel/helper-create-regexp-features-plugin,0.3172768555280692
postcss-preset-env,0.3172326717437559
postcss-value-parser,0.3164886463157234
@smithy/smithy-client,0.3151375298384112
jest-message-util,0.3132385728133424
@babel/code-frame,0.3113924344852339
call-bound,0.3094579508576894
qs,0.3081915445701202
@aws-sdk/core,0.3080294443116915
@babel/generator,0.3039801266478558
babel-preset-current-node-syntax,0.3037518742596985
minimatch,0.3033271644565993
jest-util,0.3016476640621436
define-properties,0.3009955026590629
jest-haste-map,0.3002902847587012
@jridgewell/trace-mapping,0.2981495328096172
side-channel,0.2979670458873646
telecom-mas-agent,0.2975923123567484
reflect.getprototypeof,0.2970119063971277
which-builtin-type,0.2952924411091036
semver,0.2952776139793706
postcss-selector-parser,0.2950252128756102
glob,0.2949332768653766
chalk,0.2929735331299827
babel-plugin-istanbul,0.292891036107328
form-data,0.2895660884546926
@smithy/protocol-http,0.2890426176492315
@smithy/util-utf8,0.2881419083056896
@aws-sdk/client-s3,0.2866630557125397
react-scripts,0.2865222215496469
express,0.2856242069743868
regexpu-core,0.2855501078976326
@surma/rollup-plugin-off-main-thread,0.2854256402622545
micromatch,0.2849519444332976
jsdom,0.2837936039401556
jest-runtime,0.2833209504780629
string.prototype.matchall,0.2831789126531863
cosmiconfig,0.2824330230987743
pretty-format,0.2823795764015535
@smithy/node-config-provider,0.2820268357161821
jest-worker,0.281416247159823
eslint,0.2809882211371861
request,0.2793654229717727
@smithy/node-http-handler,0.2785293341493727
@istanbuljs/load-nyc-config,0.2776423760156407
execa,0.2768197252574553
@typescript-eslint/typescript-estree,0.2764619533218184
@babel/helper-module-imports,0.2746614033918184
jest-config,0.274113963825615
@babel/helper-module-transforms,0.2740890783096549
@csstools/css-tokenizer,0.2732681432366866
@aws-crypto/sha256-browser,0.27305589943763
resolve,0.2727328816098725
d3,0.2725376024070585
cssnano-preset-default,0.2724968625162672
@aws-sdk/nested-clients,0.2722189887486431
@smithy/middleware-endpoint,0.2721511381660222
webpack-dev-server,0.2717825202863195
schema-utils,0.2717008617024369
@csstools/css-parser-algorithms,0.2712308628406651
